Heterogeneous (0/1)	Supercomputer Name
1	RoadRunner
0	Blue Gene L
0	Kraken XT5
0	Intrepid
0	Ranger
0	Jaguar
0	JUGENE
0	Encanto
0	EKA
0	Blue Gene/P Solution
0	SGI Altix ICE 8200EX
0	Cluster Platform 3000 BL460c
0	Red Storm - Sandia
0	Frontier2 BG/L
0	BGW
0	Franklin
0	T2K Open Supercomputer
0	New York Blue
0	Power 575
0	VIP - Power 575
1	"	Roadrunner "
0	Jaguar XT5
0	Pleiades
0	BlueGene/L
0	Kraken XT5
0	Intrepid
0	Ranger
0	Franklin
0	Jaguar XT4
0	Red Storm - Sandia
0	Magic Cube
0	JUGENE
0	Encanto
0	EKA
0	Jade
0	Athena
0	Blue Gene P Solutions
0	SGI Altix ICE 8200EX
0	Cluster Platform 3000 BL460c
0	DeepComp 7000
1	Roadrunner
0	Jaguar
0	JUGENE
1	Pleiades
0	BlueGene/L
0	Kraken XT5
0	Intrepid
0	Ranger
0	Dawn
0	JUROPA
0	Franklin
0	Jaguar
0	Red Storm
0	Shaheen
0	Magic Cube
0	GPC
0	Encanto
0	EKA
0	Juno
0	Jade
0	Jaguar
1	Roadrunner
0	Kraken XT5
0	JUGENE
1	Tianhe-1A
1	Pleiades
0	Blue Gene L
0	Intrepid
0	Ranger
0	Red Sky
0	Dawn
0	Lomonosov
0	JUROPA
1	TachyonII
0	Franklin
0	Jaguar XT4
0	Red Storm - Sandia
0	Shaheen
0	Magic Cube
0	HECToR
1	Jaguar - Cray XK6
1	Nebulae
1	Roadrunner
0	Kraken XT5
0	JUGENE
1	Pleiades
1	Tianhe-1A
0	Blue Gene L
0	Intrepid
0	Red Sky
0	Ranger
0	Dawn
0	Lomonosov
0	JUROPA
1	TachyonII
0	HECToR
0	Franklin
1	Jade
1	Mole-8.5
0	Jaguar XT4
1	Tianhe-1A
1	Jaguar X6
1	Nebulae
1	TSUBAME
0	Hopper
1	Tera 100
1	Roadrunner
0	Kraken XT5
0	JUGENE
0	Cielo
1	Pleiades
0	Blue Gene L
0	Intrepid
1	Red Sky
0	Ranger
0	Dawn
0	Lomonosov
0	Raptor
