PowerPC 440 2C 700MHz
PowerXCell 8i 9C 3.2GHz
PowerXCell 8i 9C 3.2GHz
Opteron Quad Core 4C 2.3GHz
Xeon E5450 4C 3GHz
PowerPC 450 4C 850MHz
Opteron 6274 16C 2.2GHz
Opteron Six Core 6C 2.6GHz
Xeon E5540 4C 2.53GHz
Xeon X5650 6C 2.66GHz
Xeon X5670 6C 2.93GHz
Xeon X5670 6C 2.93GHz
Opteron 6172 12C 2.1GHz
SPARC64 VIIIfx 8C 2GHz
Power BQC 16C 1.6GHz
Power BQC 16C 1.6GHz
Xeon E5-2680 8C 2.7GHz
Power BQC 16C 1.6GHz
Xeon E5-2690v3 12C 2.6GHz
Opteron 6274 16C 2.2GHz
Intel Xeon E5-2692v2 12C 2.2GHz
Sunway SW26010 260C 1.45GHz
Intel Xeon Phi 7250 68C 1.4GHz
Xeon D-1571 16C 1.3GHz
Xeon Gold 6148 20C 2.4GHz
IBM POWER9 22C 3.07GHz
IBM POWER9 22C 3.1GHz
