#seq,list,rank,id,type,hetero,nodecount,rpeak,rmax,power,totalcores,cn.cpucore,cn.acccore,cn.dramcap,cn.drambw,cn.hbmcap,cn.hbmbw,total.cpucores,total.acccores,total.dramcap,total.drambw,total.hbmcap,total.hbmbw,pfs.cap,pfs.bw
1,200906,1,176028,MPP,1,3240,1457,1105,2483,129600,4,36,8,21.4,16,102.4,12960,116640,25920,69336,51840,331776,2097152,55
1,200906,2,176029,MPP,0,19200,1381,1059,6950,150152,8,0,16,25.6,0,0,150152,0,307200,480000,0,0,10485760,240
1,200906,3,176321,MPP,0,73728,1003,826,2268,294912,4,0,2,13.6,0,0,294912,0,147456,1002700.8,0,0,2097152,34
1,200906,4,176203,MPP,0,1600,609,487,2090,51200,32,0,32,21,0,0,51200,0,51200,33600,0,0,30408704,56
1,200906,5,175171,MPP,0,131072,596,478,2329,212992,2,0,0.25,5.5,0,0,212992,0,32768,720896,0,0,192000,9.6
2,200911,1,176544,MPP,0,18688,2628,1941,5142,298592,16,512,32,52,6,177.6,299008,9568256,598016,9568256,112128,3318988.8,10485760,240
2,200911,2,176027,MPP,1,3060,1376,1042,2345,122400,4,36,8,21.4,16,102.4,12240,110160,24480,65484,48960,313344,2097152,55
2,200911,3,176545,MPP,0,9408,1029,832,3090,98928,11,0,16,25.6,0,0,98928,0,150528,240844.8,0,0,3460300.8,30
2,200911,4,176321,MPP,0,73728,1003,826,2268,294912,4,0,2,13.6,0,0,294912,0,147456,1002700.8,0,0,2097152,34
2,200911,5,176546,MPP,1,6250,1206,563,1520,481280,12,66,32,32,2,130,71680,409600,98304,163840,12500,812500,1048576,
3,201006,1,176544,MPP,0,18688,2628,1941,5142,298592,16,512,32,52,6,177.6,299008,9568256,598016,9568256,112128,3318988.8,10485760,240
3,201006,2,176819,Cluster,1,4640,2984,1271,2580,120640,12,14,24,128,2.6,144,55680,64960,111360,593920,12064,668160,307200,100
3,201006,3,176027,MPP,1,3060,1376,1042,2345,122400,4,36,8,21.4,16,102.4,12240,110160,24480,65484,48960,313344,2097152,55
3,201006,4,176545,MPP,0,9408,1029,832,3090,98928,11,0,16,25.6,0,0,98928,0,150528,240844.8,0,0,3460300.8,30
3,201006,5,176321,MPP,0,73728,1003,826,2268,294912,4,0,2,13.6,0,0,294912,0,147456,1002700.8,0,0,2097152,34
4,201011,1,176929,MPP,1,7168,4701,2566,4040,186368,12,14,32,20.7,3,148,86016,100352,229376,148400,21504,1060864,2097152,
4,201011,2,176544,MPP,0,18688,2628,1941,5142,298592,16,512,32,52,6,177.6,299008,9568256,598016,9568256,112128,3318988.8,10485760,240
4,201011,3,176819,Cluster,1,4640,2984,1271,2580,120640,12,14,24,128,2.6,144,55680,64960,111360,593920,12064,668160,307200,100
4,201011,4,176927,Cluster,1,1432,2288,1192,1399,73278,12,40,54,64,9,4452,77328,56994,90919,754974.72,12888,6375264,7476346.88,200
4,201011,5,176952,MPP,0,6384,1289,1054,2910,153408,24,0,32,85.3,0,0,153408,0,222208,544555.2,0,0,2097152,70
5,201106,1,177232,Cluster,0,82944,11280,10510,12660,705024,8,0,16,64,0,0,705024,0,1410048,5308416,0,0,31457280,340
5,201106,2,176929,MPP,1,7168,4701,2566,4040,186368,12,14,32,20.7,3,148,86016,100352,229376,148400,21504,1060864,2097152,
5,201106,3,176544,MPP,0,18688,2628,1941,5142,298592,16,512,32,52,6,177.6,299008,9568256,598016,9568256,112128,3318988.8,10485760,240
5,201106,4,176819,Cluster,1,4640,2984,1271,2580,120640,12,14,24,128,2.6,144,55680,64960,111360,593920,12064,668160,307200,100
5,201106,5,176927,Cluster,1,1432,2288,1192,1399,73278,12,40,54,64,9,4452,77328,56994,90919,754974.72,12888,6375264,7476346.88,200
6,201111,1,177232,Cluster,0,82944,11280,10510,12660,705024,8,0,16,64,0,0,705024,0,1410048,5308416,0,0,31457280,340
6,201111,2,176929,MPP,1,7168,4701,2566,4040,186368,12,14,32,20.7,3,148,86016,100352,229376,148400,21504,1060864,2097152,
6,201111,3,176544,MPP,0,18688,2628,1941,5142,298592,16,512,32,52,6,177.6,299008,9568256,598016,9568256,112128,3318988.8,10485760,240
6,201111,4,176819,Cluster,1,4640,2984,1271,2580,120640,12,14,24,128,2.6,144,55680,64960,111360,593920,12064,668160,307200,100
