information__system,information__institution,information__storage_vendor,information__filesystem_type,information__client_nodes,information__client_total_procs,io500__score,io500__bw,io500__md,information__data,information__id,information__submitter,information__submission_date,information__embargo_end_date,information__storage_install_date,information__storage_refresh_date,information__filesystem_name,information__filesystem_version,information__client_procs_per_node,information__client_operating_system,information__client_operating_system_version,information__client_kernel_version,information__md_nodes,information__md_storage_devices,information__md_storage_type,information__md_volatile_memory_capacity,information__md_storage_interface,information__md_network,information__md_software_version,information__md_operating_system_version,information__ds_nodes,information__ds_storage_devices,information__ds_storage_type,information__ds_volatile_memory_capacity,information__ds_storage_interface,information__ds_network,information__ds_software_version,information__ds_operating_system_version,information__note,information__best,io500__tot_iops,ior__easy_write,ior__easy_read,ior__hard_write,ior__hard_read,mdtest__easy_write,mdtest__easy_stat,mdtest__easy_delete,mdtest__hard_write,mdtest__hard_read,mdtest__hard_stat,mdtest__hard_delete,find__hard
Palmetto,Clemson University,Dell,BeeGFS,16,16,5.08,2.24,11.49,zip,2018-11-1,Clemson ACI,2018-10-22,,09/2012,07/2018,scratch1b,7.1,1,Oracle Linux,7.4,4.1.12-103.9.4.el7uek.x86_64,16,2,SSD,128GB,SATA,10Gbps Ethernet,7.1,7.4,16,10,HDD,128GB,SATA,10Gbps Ethernet,7.1,7.4,,,11.23,4.42,4.15,2.79,0.50,18.56,34.51,25.42,2.94,6.80,28.97,5.48,5.88
WekaIO,WekaIO,WekaIO,,17,935,78.37,37.39,164.26,zip,2018-11-2,Alexander Howard,2018-11-13,,10/18,,WekaIO Matrix,3.1.8.1,55,CentOS,7.4.1708,3.10.0-693,32,6,SSD,,NVMe,Ethernet,3.1.8.1,CentOS 7.4.1708,32,6,SSD,,NVMe,Ethernet,3.1.8.1,CentOS 7.4.1708,,true,168.95,37.69,180.93,5.31,53.97,89.62,3738.01,44.63,3.99,943.33,3504.02,3.98,675.29
Data Accelerator,University of Cambridge,Dell EMC,Lustre,528,4224,158.71,71.40,352.75,zip,2018-11-3,University of Cambridge Research Computing Srevices,2018-11-12,,07/2018,,Data Accelerator,2.11,8,RHEL,7,3.10.0-862,20,1,NVMe,192,NVMe,OmniPath,2.11,RHEL 7,24,36,NVMe,192,NVMe,OmniPath,2.11,RHEL 7,,true,348.88,208.25,358.56,7.44,46.78,53.45,247.40,50.86,366.95,1618.13,2112.23,389.67,729.39
Oakforest-PACS,JCAHPC,DDN,Lustre,256,8192,42.18,20.04,88.78,zip,2018-11-4,Osamu Tatebe,2017-11-23,,,,,,32,,,,,,,,,,,,,,,,,,,,,true,91.06,87.03,113.19,2.36,6.95,56.39,157.21,36.12,39.43,87.17,100.47,63.62,548.67
Bancholab,DDN,DDN,Lustre,10,240,31.50,6.33,156.69,zip,2018-11-5,Shuichi Ihara,2018-11-08,,11/2016,11/2017,ES-H,2.12,24,CentOS,7.4,3.10.0-693.21.1.el7.x86_64,4,8,SSD,96GB,SAS,EDR InfiniBand,Lustre,7.5,4,100,HDD,90GB,SAS,EDR InfiniBand,Lusre,7.5,,true,90.58,37.54,35.37,0.26,4.63,199.69,527.67,226.09,21.22,46.14,79.48,58.84,3332.11
NURION,Korea Institute of Science and Technology Information (KISTI),DDN,Lustre,2048,4096,35.97,14.06,92.03,zip,2018-11-6,KISTI,2018-11-02,,,,PFS,,2,CentOS,7.3.1611,3.10.0-514.26.2.el7.x86_64,2,25,SSD,256GB,SAS,OmniPath,2.7,7.4,36,90,SATA,96GB,NL-SAS,OmniPath,2.7,7.4,,,82.87,212.91,278.26,0.73,0.91,40.37,248.52,32.41,37.76,113.35,162.57,38.00,598.35
Exascaler on GCP,Google,Google,Lustre,120,960,47.23,23.06,96.74,zip,2018-11-7,Carlos Thomaz,2018-11-11,,11/18,11/18,Lustre on GCP (lgcpfs),Exascaler 5.0 PRE - Lustre 2.11-56 (Master),8,Exascaler,5.0 PRE - Centos 7x,3.10.0-862.14.4.el7_lustre.ddn0.x86_64,4,4,NVMe,60GB,NVMe,16Gbps Ethernet,Exascaler 5.0 PRE - Lustre 2.11-56,Centos 7.5,120,4,NVMe,60GB,NVMe,16Gbps Ethernet,Exascaler 5.0 PRE - Lustre 2.11-56,Centos 7.5,,true,101.04,107.23,38.26,5.66,12.19,49.18,325.97,37.47,46.70,68.72,178.79,25.25,881.61
ofsdev,Clemson University,Dell,BeeGFS,16,64,12.51,2.10,74.72,zip,2018-11-8,Clemson ACI,2018-08-28,,04/2012,08/2018,ofsdev,7,4,Oracle Linux,7.5,4.1.12-103.9.4.el7uek.x86_64,16,2,SSD,16GB,SATA,FDR InfiniBand,7.0,7.5,16,12,HDD,128GB,SAS,FDR InfiniBand,7.0,7.5,,,38.24,12.31,10.32,0.06,2.57,181.41,693.87,262.28,6.24,18.81,73.77,6.18,550.04
Oakforest-PACS,JCAHPC,DDN,Lustre,256,8192,44.24,21.42,91.40,zip,2018-11-9,Osamu Tatebe,2018-10-22,,12/2016,,work,2.7.21.3.ddn21,32,,,,10,44,SSD,,SAS,OmniPath,,,40,100,HDD,,SAS,OmniPath,,,,,94.91,97.08,121.77,2.62,6.79,58.46,152.55,37.23,44.60,81.70,107.72,43.99,849.18
Palmetto,Clemson University,Dell,BeeGFS,32,32,9.42,2.94,30.19,zip,2018-11-10,Clemson ACI,2018-10-24,,01/2015,10/2018,scratch4,7.1,1,Oracle Linux,7.5,3.10.0-862.9.1.el7.x86_64,6,2,SSD,256GB,SATA,FDR InfiniBand,7.1,7.5,16,10,HDD,256GB,SATA,FDR InfiniBand,7.1,7.5,,,23.40,3.73,4.43,1.54,2.94,24.54,170.20,24.70,5.32,13.69,88.67,6.22,166.52
ofsdev,Clemson University,Dell,Lustre,16,16,4.88,1.31,18.17,zip,2018-11-11,Clemson ACI,2018-11-08,,04/2012,11/2018,lofstest,2.10.5,1,Oracle Linux,7.5,3.10.0-862.14.4.el7.x86_64,16,2,SSD,16GB,SATA,FDR InfiniBand,2.10.5,7.5,16,12,HDD,16GB,SAS,FDR InfiniBand,2.10.5,7.5,,,12.74,10.82,9.94,0.19,0.14,10.02,16.38,13.26,7.08,5.97,32.52,13.84,287.71
Apocrita,Queen Mary; University Of London,E8,GPFS,10,240,9.65,4.32,21.55,zip,2018-11-12,Peter Childs,2018-11-09,,11/2018,11/2018,e8Scratch,4.2.3-8,24,CentOS,7.4,3.10.0-693.11.6.el7.x86_64,3,6,SSD / NVMe,188g,NVMe,Ethernet,4.2.3-8,CentOS 7.4,3,6,SSD /NVMe,188g,NVMe,Ethernet,GPFS,CentOS 7.4,,true,21.24,8.86,8.76,1.26,3.56,15.39,67.24,50.48,5.95,8.38,8.79,4.71,431.60
