# time,machine,cores,memory,rmax
199306,CM-5/1024,1024,32,0.06
199311,Numerical Wind Tunnel,140,35,0.17
199406,XP/S140,3680,115,0.14
199411,Numerical Wind Tunnel,140,35,0.17
199506,Numerical Wind Tunnel,140,35,0.17
199511,Numerical Wind Tunnel,140,35,0.17
199606,SR2201/1024,1024,1024,0.23
199611,CP-PACS/2048,2048,2048,0.37
199706,ASCI Red.1,7264,908,1.07
199711,ASCI Red.2,9152,1144,1.34
199806,ASCI Red.2,9152,1144,1.34
199811,ASCI Red.2,9152,1144,1.34
199906,ASCI Red.3,9472,1184,2.12
199911,ASCI Red.4,9632,1212,2.38
200006,ASCI Red.4,9632,1212,2.38
200011,ASCI White,8192,6144,7.30
200106,ASCI White,8192,6144,7.30
200111,ASCI White,8192,6144,7.30
200206,Earth-Simulator,5120,20480,35.86
200211,Earth-Simulator,5120,20480,35.86
200306,Earth-Simulator,5120,20480,35.86
200311,Earth-Simulator,5120,20480,35.86
200406,Earth-Simulator,5120,20480,35.86
200411,BlueGene/L beta-System,32768,8192,70.72
200506,BlueGene/L.1,65536,16384,136.80
200511,BlueGene/L.2,131072,32768,280.60
200606,BlueGene/L.2,131072,32768,280.60
200611,BlueGene/L.2,131072,32768,280.60
200706,BlueGene/L.2,131072,32768,280.60
200711,BlueGene/L.3,212992,73728,478.20
200806,Roadrunner.1,122400,100193,1026.00
200811,Roadrunner.2,129600,106086,1105.00
200906,Roadrunner.2,129600,106086,1105.00
200911,Jaguar,298592,598016,1941.00
201006,Jaguar,298592,598016,1941.00
201011,Tianhe-1A,186368,229376,2566.00
201106,K computer,705024,1410048,10510.00
201111,K computer,705024,1410048,10510.00
201206,Sequoia,1572864,1572864,17173.20
201211,Titan,560640,710144,17590.00
201306,Tianhe-2A,4981760,2277376,61444.50
201311,Tianhe-2A,4981760,2277376,61444.50
201406,Tianhe-2A,4981760,2277376,61444.50
201411,Tianhe-2A,4981760,2277376,61444.50
201506,Tianhe-2A,4981760,2277376,61444.50
201511,Tianhe-2A,4981760,2277376,61444.50
201606,Sunway TaihuLight,10649600,1310720,93014.60
201611,Sunway TaihuLight,10649600,1310720,93014.60
201706,Sunway TaihuLight,10649600,1310720,93014.60
201711,Sunway TaihuLight,10649600,1310720,93014.60
201806,Summit,2397824,2801664,143500.00
201811,Summit,2397824,2801664,143500.00
