United States,5458
Germany,859
China,857
Japan,710
United Kingdom,640
France,420
Italy,171
Canada,141
Korea, South,126
Netherlands,117
Sweden,116
Australia,95
Spain,86
Switzerland,86
India,82
Russia,66
Taiwan,58
Poland,46
Saudi Arabia,46
Finland,42
Brazil,41
Norway,41
Austria,38
Denmark,38
Belgium,35
Mexico,35
Ireland,33
New Zealand,32
Singapore,30
Israel,29
South Africa,22
Hong Kong,19
Luxembourg,17
Malaysia,12
Egypt,7
Portugal,7
Greece,6
Venezuela,5
Thailand,4
Turkey,4
Bulgaria,3
Czech Republic,3
Indonesia,3
Slovenia,3
United Arab Emirates,3
Belarus,2
Hungary,2
Colombia,1
Croatia,1
Cyprus,1
Liechtenstein,1
Nigeria,1
Oman,1
Peru,1
Philippines,1
Puerto Rico,1
Qatar,1
Slovak Republic,1
Vietnam,1
