# no,rpeak,time,machine,5-cores,dramcap-agg,rmax,drambw-cn,drambw-agg,10-pfs-cap,pfs-bw,injection,bisection
1,0.131,199306,CM-5/1024,1024,32,0.06,0.50,512.00,0,10,0.020,5.000
2,0.23579,199311,NumericalWindTunnel,140,35,0.17,0.49,81.05,16,0.7810.411,0.000
3,0.184,199406,XP/S140,3680,115,0.14,0.39,775.00,4.8,0,0.000,0.000
4,0.23579,199411,NumericalWindTunnel,140,35,0.17,0.49,81.05,16,0.7810.411,0.000
5,0.23579,199506,NumericalWindTunnel,140,35,0.17,0.49,81.05,16,0.7810.411,0.000
6,0.23579,199511,NumericalWindTunnel,140,35,0.17,0.49,81.05,16,0.7810.411,0.000
7,0.3072,199606,SR2201/1024,1024,1024,0.23,0.59,600.00,0,0,0.293,0.000
8,0.6144,199611,CP-PACS/2048,2048,2048,0.37,1.20,2457.60,595,0,0.293,0.000
9,1.453,199706,ASCIRed.1,7264,908,1.07,0.52,920.26,2048,1,0.781,51.600
10,1.8304,199711,ASCIRed.2,9152,1144,1.34,0.52,920.26,2048,1,0.781,51.600
11,1.8304,199806,ASCIRed.2,9152,1144,1.34,0.52,920.26,2048,1,0.781,51.600
12,1.8304,199811,ASCIRed.2,9152,1144,1.34,0.52,920.26,2048,1,0.781,51.600
13,3.154,199906,ASCIRed.3,9472,1184,2.12,0.52,920.26,2048,1,0.781,51.600
14,3.207,199911,ASCIRed.4,9632,1212,2.38,0.52,2361.02,2048,1,0.781,51.600
15,3.207,200006,ASCIRed.4,9632,1212,2.38,0.52,2361.02,2048,1,0.781,51.600
16,12.288,200011,ASCIWhite,8192,6144,7.30,16.00,8192.00,163840,5,2.000,0.000
17,12.288,200106,ASCIWhite,8192,6144,7.30,16.00,8192.00,163840,5,2.000,0.000
18,12.288,200111,ASCIWhite,8192,6144,7.30,16.00,8192.00,163840,5,2.000,0.000
19,40.96,200206,Earth-Simulator,5120,20480,35.86,256.00,163840.00,655360,1,12.300,8058.880
20,40.96,200211,Earth-Simulator,5120,20480,35.86,256.00,163840.00,655360,1,12.300,8058.880
